x counts
0.0005 98428470
0.0015 33695
0.0025 50501
0.0035 58844
0.0045 300511
0.0055 1624409
0.0065 2287916
0.0075 751653
0.0085 16736
0.0095 22971
0.0105 37657
0.0115 52928
0.0125 58692
0.0135 44653
0.0145 26669
0.0155 15071
0.0165 7791
0.0175 8121
0.0185 7950
0.0195 6749
0.0205 6977
0.0215 5555
0.0225 5280
0.0235 4411
0.0245 3624
0.0255 3992
0.0265 3396
0.0275 3274
0.0285 3109
0.0295 2857
0.0305 2591
0.0315 2319
0.0325 2197
0.0335 2028
0.0345 1950
0.0355 1870
0.0365 1624
0.0375 1725
0.0385 1551
0.0395 1356
0.0405 1402
0.0415 1233
0.0425 1119
0.0435 1101
0.0445 1074
0.0455 978
0.0465 913
0.0475 839
0.0485 703
0.0495 622
0.0505 694
0.0515 580
0.0525 542
0.0535 491
0.0545 497
0.0555 422
0.0565 402
0.0575 347
0.0585 259
0.0595 295
0.0605 318
0.0615 234
0.0625 275
0.0635 207
0.0645 215
0.0655 207
0.0665 159
0.0675 183
0.0685 161
0.0695 133
0.0705 125
0.0715 108
0.0725 111
0.0735 119
0.0745 96
0.0755 103
0.0765 88
0.0775 54
0.0785 65
0.0795 60
0.0805 85
0.0815 57
0.0825 50
0.0835 54
0.0845 30
0.0855 41
0.0865 43
0.0875 30
0.0885 33
0.0895 34
0.0905 32
0.0915 22
0.0925 30
0.0935 32
0.0945 19
0.0955 14
0.0965 17
0.0975 7
0.0985 20
0.0995 15
0.1005 20
0.1015 14
0.1025 6
0.1035 11
0.1045 15
0.1055 10
0.1065 6
0.1075 6
0.1085 4
0.1095 8
0.1105 5
0.1115 9
0.1125 8
0.1135 9
0.1145 7
0.1155 4
0.1165 3
0.1175 5
0.1185 5
0.1195 2
0.1205 1
0.1215 2
0.1225 3
0.1235 5
0.1245 1
0.1255 3
0.1265 2
0.1275 2
0.1285 4
0.1295 0
0.1305 4
0.1315 1
0.1325 2
0.1335 0
0.1345 0
0.1355 2
0.1365 2
0.1375 0
0.1385 2
0.1395 0
0.1405 1
0.1415 0
0.1425 2
0.1435 0
0.1445 0
0.1455 1
0.1465 1
0.1475 2
0.1485 1
0.1495 0
0.1505 4
0.1515 2
0.1525 1
0.1535 0
0.1545 0
0.1555 1
0.1565 0
0.1575 0
0.1585 1
0.1595 1
0.1605 0
0.1615 0
0.1625 1
0.1635 0
0.1645 1
0.1655 1
0.1665 0
0.1675 0
0.1685 0
0.1695 0
0.1705 0
0.1715 0
0.1725 0
0.1735 0
0.1745 0
0.1755 0
0.1765 0
0.1775 1
0.1785 0
0.1795 0
0.1805 1
0.1815 0
0.1825 0
0.1835 1
0.1845 0
0.1855 0
0.1865 0
0.1875 0
0.1885 0
0.1895 0
0.1905 0
0.1915 0
0.1925 0
0.1935 1
0.1945 0
0.1955 0
0.1965 0
0.1975 0
0.1985 0
