x counts
0.0005 1008558946
0.0015 92933
0.0025 169656
0.0035 282957
0.0045 1943957
0.0055 11824093
0.0065 24054914
0.0075 13743879
0.0085 53521
0.0095 99529
0.0105 211517
0.0115 372152
0.0125 524600
0.0135 527214
0.0145 411463
0.0155 242666
0.0165 28355
0.0175 36845
0.0185 44284
0.0195 42788
0.0205 54167
0.0215 44990
0.0225 46026
0.0235 29687
0.0245 13528
0.0255 17579
0.0265 15334
0.0275 18736
0.0285 17795
0.0295 16153
0.0305 16181
0.0315 12763
0.0325 9119
0.0335 8897
0.0345 10060
0.0355 9716
0.0365 8471
0.0375 10344
0.0385 9107
0.0395 6405
0.0405 6662
0.0415 6514
0.0425 6012
0.0435 6025
0.0445 6524
0.0455 6205
0.0465 6556
0.0475 4586
0.0485 4280
0.0495 3876
0.0505 5168
0.0515 4718
0.0525 4468
0.0535 4517
0.0545 4519
0.0555 3568
0.0565 3259
0.0575 3410
0.0585 3297
0.0595 3281
0.0605 3591
0.0615 3138
0.0625 3694
0.0635 2568
0.0645 2746
0.0655 2700
0.0665 2516
0.0675 2724
0.0685 2932
0.0695 2608
0.0705 2454
0.0715 2323
0.0725 2224
0.0735 2115
0.0745 2207
0.0755 2381
0.0765 2423
0.0775 1878
0.0785 2136
0.0795 1822
0.0805 2081
0.0815 1829
0.0825 2074
0.0835 1922
0.0845 1665
0.0855 1903
0.0865 1794
0.0875 1411
0.0885 1716
0.0895 1700
0.0905 1834
0.0915 1305
0.0925 1636
0.0935 1724
0.0945 1507
0.0955 1348
0.0965 1369
0.0975 1418
0.0985 1421
0.0995 1104
0.1005 1771
0.1015 1405
0.1025 1296
0.1035 1223
0.1045 1189
0.1055 1218
0.1065 1311
0.1075 1232
0.1085 1227
0.1095 1212
0.1105 933
0.1115 1449
0.1125 1092
0.1135 1119
0.1145 1136
0.1155 1115
0.1165 1123
0.1175 1051
0.1185 1098
0.1195 895
0.1205 1099
0.1215 1068
0.1225 1028
0.1235 931
0.1245 800
0.1255 1400
0.1265 881
0.1275 855
0.1285 927
0.1295 1029
0.1305 883
0.1315 945
0.1325 985
0.1335 828
0.1345 834
0.1355 798
0.1365 911
0.1375 883
0.1385 878
0.1395 816
0.1405 899
0.1415 857
0.1425 899
0.1435 738
0.1445 768
0.1455 835
0.1465 716
0.1475 861
0.1485 774
0.1495 644
0.1505 836
0.1515 694
0.1525 817
0.1535 730
0.1545 632
0.1555 762
0.1565 783
0.1575 675
0.1585 677
0.1595 628
0.1605 734
0.1615 683
0.1625 735
0.1635 632
0.1645 741
0.1655 682
0.1665 618
0.1675 697
0.1685 551
0.1695 637
0.1705 665
0.1715 705
0.1725 659
0.1735 587
0.1745 586
0.1755 681
0.1765 660
0.1775 563
0.1785 624
0.1795 636
0.1805 645
0.1815 554
0.1825 563
0.1835 625
0.1845 604
0.1855 537
0.1865 598
0.1875 620
0.1885 488
0.1895 601
0.1905 490
0.1915 553
0.1925 575
0.1935 480
0.1945 574
0.1955 575
0.1965 488
0.1975 550
0.1985 586
